Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
20,Mark Leiter Jr.,33,,-0.1,2,1,0.667,4.98,21,0,4,0,0,0,21.2,28,14,12,6,9,1,33,2,0,3,104,84,5.24,1.708,11.6,2.5,3.7,13.7,3.67,,leitema02
21,Tim Mayza*,32,,0,0,1,0,4,15,0,4,0,0,0,18,18,10,8,2,3,0,12,1,0,0,74,105,3.94,1.167,9,1,1.5,6,4,,mayzati01
22,Yoendrys Gómez,24,,0.1,0,0,,3.97,5,0,3,0,0,0,11.1,11,5,5,2,7,0,10,1,0,1,54,107,5.81,1.588,8.7,1.6,5.6,7.9,1.43,,gomezyo01
23,Nick Burdi,31,,0.4,1,0,1,1.86,12,0,1,0,0,0,9.2,5,2,2,1,9,0,12,2,0,3,45,229,5.44,1.448,4.7,0.9,8.4,11.2,1.33,,burdini01
24,Phil Bickford,28,,-0.3,0,0,,8.64,8,0,4,0,0,0,8.1,10,9,8,1,1,0,6,1,0,0,39,50,4.01,1.32,10.8,1.1,1.1,6.5,6,,bickfph01
25,Josh Maciejewski*,28,,0.1,0,0,,2.57,4,0,4,0,0,0,7,4,2,2,1,2,0,7,0,0,0,27,168,3.88,0.857,5.1,1.3,2.6,9,3.5,,maciejo01
26,Enyel De Los Santos,28,,-0.6,0,0,,14.21,5,0,1,0,0,0,6.1,13,10,10,1,3,0,5,3,0,0,37,31,6.48,2.526,18.5,1.4,4.3,7.1,1.67,,delosen01
27,Jonathan Loáisiga,29,,0.3,1,0,1,0,3,0,0,0,0,0,4,7,0,0,0,1,0,3,0,0,0,20,,2.42,2,15.8,0,2.3,6.8,3,,loaisjo01
28,Clayton Beeter,25,,0,0,0,,4.91,3,0,1,0,0,0,3.2,4,2,2,0,1,0,5,0,0,0,15,92,1.26,1.364,9.8,0,2.5,12.3,5,,beetecl01
29,Scott Effross,30,,0,0,0,,5.4,3,0,1,0,0,0,3.1,3,2,2,1,2,0,2,0,0,0,14,84,7.67,1.5,8.1,2.7,5.4,5.4,1,,effrosc01
30,Jose Trevino,31,,-0.1,0,0,,13.5,2,0,2,0,0,0,2,5,3,3,0,2,0,0,0,0,0,13,36,6.17,3.5,22.5,0,9,0,0,,trevijo01
31,Anthony Misiewicz*,29,,0.1,0,0,,0,1,0,0,0,0,0,1,2,0,0,0,1,0,1,0,0,0,6,,4.17,3,18,0,9,9,1,,misiean01
32,Oswaldo Cabrera,25,,0,0,0,,0,1,0,1,0,0,0,0.1,0,0,0,0,2,0,0,0,0,0,3,,21.17,6,0,0,54,0,0,,cabreos01
33,Clayton Andrews*,27,,-0.1,0,0,,27,1,0,0,0,0,0,0.1,1,1,1,1,0,0,1,1,0,0,3,32,45.17,3,27,27,0,27,,,andrecl02
